club_name,category,year,source_url,notes
生命科學系系學會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 YMLS
陽明校區師大附中校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
牙醫學系系學會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCUDSA
護理學系系學會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Nursing Student Association
陽明瑜珈社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Yang-Ming Yoga Club
鋼琴社(陽明校區),學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Piano Club (Yang Ming)
愛呀，你好！社,服務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,"陽明校區；英文名 Hello, Love Club"
烘焙研究社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Baking Club
游泳社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 National Yang-Ming Chiao-Tung University Swimming Club
陽明信望愛社,學術性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Yang Ming Faith Hope Love Club
詩歌真理社,學術性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Hymn&amp;truth
國立陽明交通大學青年領袖社（陽明校區）,學術性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 National Yang Ming Chao Tong University Leadership Education Club
愛杏管弦樂團,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Aising Orchestra
陽明吉他社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Yang Ming Guitar Club
咸池國樂社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 YM Chinese Orchestra
國立陽明交通大學射箭社(陽明分部),體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 National Yang Ming Chiao Tung University Archery Club(Yang Ming Archery Club)
學生會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
陽明分會學生議會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
蛋糕社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
女桌社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
電子競技社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
滑板社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
高雄屏東校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
轉學生聯誼會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
虛擬偶像社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區；英文名 VTuber Club
交大圍棋社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區；英文名 Go Club
魔術方塊社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區；英文名 Rubik&#39;s Cube Club
國際大使團112,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 International Student Ambassador Group (ISAG)
嘉義雲林校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
桃園地區友好會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
附中山校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
管樂團,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
劍道社(交大校區),體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
單車社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
撞球社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
跆拳社(交大校區),體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
達磨禪學社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
美術社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
藝趣節團隊,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
