club_name,category,school,notes
合唱團,音樂性,nthu,
人聲樂創社,音樂性,nthu,
鋼琴社,音樂性,nthu,
弦樂社,音樂性,nthu,
直笛魅力四社,音樂性,nthu,
古箏社,音樂性,nthu,
國樂社,音樂性,nthu,
口琴社,音樂性,nthu,
烏克麗麗社,音樂性,nthu,
DJ社,音樂性,nthu,
烹飪社,技藝性,nthu,
日本麻將研究社,技藝性,nthu,
西洋棋社,技藝性,nthu,
RoS甜點廚房,技藝性,nthu,
橋藝社,技藝性,nthu,
象棋社,技藝性,nthu,
飲品藝術研習社,技藝性,nthu,
桌上遊戲社,技藝性,nthu,
卡牌遊戲社,技藝性,nthu,
清檸新聞小組,技藝性,nthu,
紫微斗數研究社,技藝性,nthu,
玻璃工藝社,藝術性,nthu,
清華旗隊,藝術性,nthu,
自造者社,藝術性,nthu,
遊戲創作社,藝術性,nthu,
光畫社,藝術性,nthu,
當代舞蹈社,藝術性,nthu,
表演劇樂部,藝術性,nthu,
書藝社,藝術性,nthu,
世界民族舞蹈社,藝術性,nthu,
熱門舞蹈社,藝術性,nthu,
光舞藝術社,藝術性,nthu,
花格子手作社,藝術性,nthu,
京劇社,藝術性,nthu,
獸文化社,藝術性,nthu,
ACGN次文化社,藝術性,nthu,
