club_name,category,school,notes
原住民文化社,服務性A,nthu,
救護與急救推廣社,服務性A,nthu,
福智青年社,服務性A,nthu,
基層文化服務社,服務性A,nthu,
科學服務社,服務性A,nthu,
懷幼社,服務性A,nthu,
親善大使團,服務性A,nthu,
崇德青年志工社,服務性A,nthu,
耕星社,服務性A,nthu,
照顧與送養貓貓社,服務性A,nthu,
區塊鏈研究社,學術性A,nthu,
清大音樂文化發展社,學術性A,nthu,
經濟商管學生會,學術性A,nthu,
理財投資研習社,學術性A,nthu,
商業研究社,學術性A,nthu,
ACG蔓延社,學術性A,nthu,
iGEM基因工程研究社,學術性A,nthu,
管理顧問社,學術性A,nthu,
資料科學社,學術性A,nthu,
霍特獎社,學術性A,nthu,
台灣戰略暨兵棋推演研究社,學術性A,nthu,
多元收入研究社,學術性A,nthu,
精算風險研究社,學術性A,nthu,
永續行動社,學術性A,nthu,
生醫工程創新創業社,學術性A,nthu,
梅竹工作會,功能性,nthu,
梅竹籌委會,功能性,nthu,
校園導覽小組,功能性,nthu,
梅竹火力班,功能性,nthu,
慈濟青年社,服務性B,nthu,
教育服務團,服務性B,nthu,
快樂兒童社,服務性B,nthu,
課輔志工社,服務性B,nthu,
羅浮童子軍群,服務性B,nthu,
藍天社,服務性B,nthu,
關懷生命社,服務性B,nthu,
慧鐘社,學術性B,nthu,
信望愛社(南大),學術性B,nthu,
夢想方程式社,學術性B,nthu,
禪學社,學術性B,nthu,
彩虹同志社,學術性B,nthu,
柏克萊學生團契,學術性B,nthu,
中國工程師學會清華分會,學術性B,nthu,
自然保育社,學術性B,nthu,
韓語交流文化學習社,學術性B,nthu,
聖經研習社,學術性B,nthu,
信望愛團契,學術性B,nthu,
青年領袖研習社,學術性B,nthu,
學園團契社,學術性B,nthu,
禪學社(南大),學術性B,nthu,
拾善團,學術性B,nthu,
閱人咖啡館社,學術性B,nthu,
