club_name,category,school,notes
射箭社,體育性A,nthu,
散打搏擊社,體育性A,nthu,
跆拳道社,體育性A,nthu,
瑜珈社,體育性A,nthu,
壘球社,體育性A,nthu,
潛水社,體育性A,nthu,
溜冰社,體育性A,nthu,
擊劍社,體育性A,nthu,
撞球社,體育性A,nthu,
現代弓射箭社,體育性A,nthu,
保齡球社,體育性A,nthu,
匹克球社,體育性A,nthu,
南友會,綜合性,nthu,
原住民清華村社,綜合性,nthu,
僑生聯誼會,綜合性,nthu,
雄友會,綜合性,nthu,
外籍生聯誼會,綜合性,nthu,
轉學生聯誼會同好會,綜合性,nthu,
附友會,綜合性,nthu,
中山校友會,綜合性,nthu,
宜蘭校友會,綜合性,nthu,
港澳同學會,綜合性,nthu,
空氣槍射擊社,體育性B,nthu,
法輪大法社,體育性B,nthu,
網球社,體育性B,nthu,
啦啦隊,體育性B,nthu,
跑酷社,體育性B,nthu,
慢跑社,體育性B,nthu,
健身社,體育性B,nthu,
雲林嘉義校友會,綜合性,nthu,
NTHU Muslim Students Association,綜合性,nthu,
越南學生聯誼會,綜合性,nthu,
泰國學生聯誼會同好會,綜合性,nthu,
馬來西亞同學會,綜合性,nthu,
印度學生聯誼會,綜合性,nthu,
日本學生聯誼會,綜合性,nthu,
