club_name,category,school,notes
醫學系學生會,學生自治組織,nycu,陽明校區
生物醫學影像暨放射科學系學生會,學生自治組織,nycu,陽明校區
交通分會,學生會,nycu,光復校區
福智青年社,學術性社團,nycu,光復校區；英文名 Bliss &amp; Wisdom Youth Club
鐵道研究會,學術性社團,nycu,光復校區；英文名 Rail Institute
天文研究社,學術性社團,nycu,光復校區；英文名 Astronomy Club
柏克萊學生團契,學術性社團,nycu,光復校區；英文名 Koinonia
創新創業社,學術性社團,nycu,光復校區；英文名 Innovation and Entrepreneurship Club
夢想方程式,學術性社團,nycu,光復校區；英文名 Dream Life Club
中智佛學社,學術性社團,nycu,光復校區；英文名 Middle Way Wisdom Club
投資理財社,學術性社團,nycu,光復校區；英文名 Investment Club
交大信望愛社,學術性社團,nycu,光復校區；英文名 Faith Hope Love Club
聖經研習社,學術性社團,nycu,光復校區；英文名 Bible Studying Club
交通分會學生議會,學生會,nycu,光復校區
生命科學系系學會,學生自治組織,nycu,陽明校區；英文名 YMLS
陽明信望愛社,學術性社團,nycu,陽明校區；英文名 Yang Ming Faith Hope Love Club
詩歌真理社,學術性社團,nycu,陽明校區；英文名 Hymn&amp;truth
陽明分會學生議會,學生會,nycu,陽明校區
機械工程學系學生會,學生自治組織,nycu,光復校區
社會與文化研究所學生會,學生自治組織,nycu,光復校區
族群與文化研究所學生會,學生自治組織,nycu,光復校區
管理科學研究所學生會,學生自治組織,nycu,光復校區
光電工程學系學生會,學生自治組織,nycu,光復校區
人文社會學系學生會,學生自治組織,nycu,光復校區
資訊管理與財務金融學系學生會,學生自治組織,nycu,光復校區
運輸與物流管理學系學生會,學生自治組織,nycu,光復校區
生物科技學系學生會,學生自治組織,nycu,光復校區
材料科學與工程學系學生會,學生自治組織,nycu,光復校區
外國語文學系學生會,學生自治組織,nycu,光復校區
應用化學系學生會,學生自治組織,nycu,光復校區
工業工程與管理學系學生會,學生自治組織,nycu,光復校區
電子物理學系學生會,學生自治組織,nycu,光復校區
應用數學系學生會,學生自治組織,nycu,光復校區
管理科學系學生會,學生自治組織,nycu,光復校區
電機工程學系學生會,學生自治組織,nycu,光復校區
資訊工程學系學生會,學生自治組織,nycu,光復校區
中國傳統醫學研究社,學術性社團,nycu,陽明校區
粵語文化研究社,學術性社團,nycu,陽明校區
生物醫學工程學系學生會,學生自治組織,nycu,陽明校區
物理治療暨輔助科技學系系學會,學生自治組織,nycu,陽明校區
醫學生物技術暨檢驗學系學生會,學生自治組織,nycu,陽明校區
陽明分會,學生會,nycu,陽明校區
陽明分會選務委員會,學生會,nycu,陽明校區
陽明分會研究所代表大會,學生會,nycu,陽明校區
交通分會選舉委員會,學生會,nycu,光復校區
