club_name,category,school,notes
中部地區校友會,綜合性社團,nycu,光復校區；英文名 Central Region Alumni Association
國立陽明交通大學棒球社,體能性社團,nycu,陽明校區；英文名 NYCU Baseball Club
陽明軟式網球社,體能性社團,nycu,陽明校區；英文名 soft tennis club
勵青社,服務性社團,nycu,陽明校區；英文名 IF Club
十字軍社,服務性社團,nycu,陽明校區
關懷生命社,服務性社團,nycu,陽明校區；英文名 Life Care Club
陽明交通大學青少年幼兒服務社,服務性社團,nycu,陽明校區；英文名 National Yang Ming Chiao Tung chingeuo club
慈濟青年社,服務性社團,nycu,光復校區；英文名 Tzu Chi Youth Club
汪汪社,服務性社團,nycu,光復校區；英文名 Wan-Wan Club
Smrangi山福團,服務性社團,nycu,光復校區；英文名 Smrangi SanFu Club
崇德青年志工社,服務性社團,nycu,光復校區；英文名 C.D. Youth Volunteers Club
學園團契社,服務性社團,nycu,光復校區；英文名 Campus Crusade for Christ Club
硬式網球社,體能性社團,nycu,陽明校區
陽明校區師大附中校友會,綜合性社團,nycu,陽明校區
陽明瑜珈社,體能性社團,nycu,陽明校區；英文名 Yang-Ming Yoga Club
愛呀，你好！社,服務性社團,nycu,"陽明校區；英文名 Hello, Love Club"
游泳社,體能性社團,nycu,陽明校區；英文名 National Yang-Ming Chiao-Tung University Swimming Club
國立陽明交通大學射箭社(陽明分部),體能性社團,nycu,陽明校區；英文名 National Yang Ming Chiao Tung University Archery Club(Yang Ming Archery Club)
女桌社,體能性社團,nycu,光復校區
電子競技社,體能性社團,nycu,光復校區
滑板社,體能性社團,nycu,光復校區
高雄屏東校友會,綜合性社團,nycu,光復校區
轉學生聯誼會,綜合性社團,nycu,光復校區
國際大使團112,綜合性社團,nycu,陽明校區；英文名 International Student Ambassador Group (ISAG)
嘉義雲林校友會,綜合性社團,nycu,光復校區
桃園地區友好會,綜合性社團,nycu,光復校區
附中山校友會,綜合性社團,nycu,光復校區
單車社,體能性社團,nycu,光復校區
撞球社,體能性社團,nycu,光復校區
跆拳社(交大校區),體能性社團,nycu,光復校區
青年⽅程式賽⾞隊,任務性社團,nycu,光復校區
東南亞國際志工團,任務性社團,nycu,光復校區
印度國際志工團,任務性社團,nycu,光復校區
科技教育研討社,任務性社團,nycu,光復校區
伊斯蘭學生社,任務性社團,nycu,光復校區
程式競賽社,任務性社團,nycu,光復校區
國際學生協會,任務性社團,nycu,光復校區
梅竹後援會,任務性社團,nycu,光復校區
僑生聯誼會交大分會,任務性社團,nycu,光復校區
競技啦啦隊,體能性社團,nycu,光復校區
跑酷社,體能性社團,nycu,光復校區
交大瑜珈社,體能性社團,nycu,光復校區
散打搏擊社,體能性社團,nycu,光復校區
羽球社,體能性社團,nycu,光復校區
射箭社,體能性社團,nycu,光復校區
臺南地區校友會,綜合性社團,nycu,光復校區
北區校友會,綜合性社團,nycu,光復校區
陸生聯誼會,任務性社團,nycu,光復校區
越南學生協會,任務性社團,nycu,光復校區
壘球社,體能性社團,nycu,光復校區；英文名 Softball Club
健身社,體能性社團,nycu,陽明校區
