club_name,category,school,notes
經濟系會,自治性,nthu,
畢業生聯誼會,自治性,nthu,
教科系系學會,自治性,nthu,
工工系會,自治性,nthu,
工科系會,自治性,nthu,
數學系會,自治性,nthu,
物理系會,自治性,nthu,
化學系會,自治性,nthu,
材料系會,自治性,nthu,
化工系會,自治性,nthu,
動機系會,自治性,nthu,
外語系會,自治性,nthu,
生科系會,自治性,nthu,
醫環系會,自治性,nthu,
計財系會,自治性,nthu,
科管院學士班,自治性,nthu,
人社院學士班,自治性,nthu,
原科院學士班,自治性,nthu,
光電所學生會,自治性,nthu,
清華學院學士班,自治性,nthu,
特教系系學會,自治性,nthu,
運動科學系系學會,自治性,nthu,
幼教系系學會,自治性,nthu,
心諮系系學會,自治性,nthu,
藝設系系學會,自治性,nthu,
英教系系學會,自治性,nthu,
竹師教育學院學士班系學會,自治性,nthu,
清華學院國際學士班學會,自治性,nthu,
電資院學士班國際組學生會,自治性,nthu,
